concert_name,concert_date,concert_time,artist,venue,venue_address,cost,created_at,updated_at
"Yellow Barn presents","Wednesday, August 2, 2017","8:00 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",18.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (SOH) presents","Thursday, August 3, 2017","8:00 pm","Schubert&#8217;s Summer Journey","Seiji Ozawa Hall","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Yellow Barn presents","Thursday, August 3, 2017","8:00 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",18.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Bowdoin International Music Festival (CT) presents","Friday, August 4, 2017","7:30 pm","Chamber Music","Croocker Theater","Brunswick",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Cape Cod Chamber Music Festival presents","Friday, August 4, 2017","7:30 pm","The Power of Wind","First Congregational Church","Wellfleet",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Friday, August 4, 2017","8:00 pm","Hans Graf, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Yellow Barn presents","Friday, August 4, 2017","8:00 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",25.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, August 5, 2017","10:30 am","Christoph von Dohnányi, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Yellow Barn presents","Saturday, August 5, 2017","12:30 pm","Chamber Music","Yellow Barn","49 Main St, Putney, Vt",18.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
"Boston Symphony Tanglewood (K) presents","Saturday, August 5, 2017","8:00 pm","Hans Graf, conductor","Koussevitzky Music Shed","Lenox",0.00,"2017-07-18 16:43:38.187476","2017-07-22 06:22:12.102032"
